

=== New Session 2025-05-19 09:35:45 ===
2025-05-19 09:35:55 - 3 go (87%)
2025-05-19 09:35:58 - 3 go (76%)
2025-05-19 09:35:59 - 3 go (89%)
2025-05-19 09:36:00 - 3 go (85%)
2025-05-19 09:36:00 - 3 go (85%)
2025-05-19 09:36:00 - 3 go (90%)
2025-05-19 09:36:00 - 3 go (88%)
2025-05-19 09:36:00 - 3 go (84%)
2025-05-19 09:36:00 - 3 go (99%)
2025-05-19 09:36:00 - 3 go (96%)
2025-05-19 09:36:00 - 3 go (91%)
2025-05-19 09:36:01 - 3 go (75%)
2025-05-19 09:36:01 - 24 speed_limit_60kmph (84%)
2025-05-19 09:36:01 - 24 speed_limit_60kmph (99%)
2025-05-19 09:36:01 - 24 speed_limit_60kmph (93%)
2025-05-19 09:36:01 - 24 speed_limit_60kmph (96%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (98%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (97%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (95%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (96%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (92%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (93%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (90%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (88%)
2025-05-19 09:36:02 - 24 speed_limit_60kmph (89%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (89%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (94%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (96%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (92%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (95%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (89%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (93%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (95%)
2025-05-19 09:36:03 - 24 speed_limit_60kmph (91%)
2025-05-19 09:36:04 - 24 speed_limit_60kmph (98%)
2025-05-19 09:36:04 - 24 speed_limit_60kmph (92%)
2025-05-19 09:36:04 - 24 speed_limit_60kmph (87%)
2025-05-19 09:36:04 - 24 speed_limit_60kmph (79%)
2025-05-19 09:36:04 - 24 speed_limit_60kmph (87%)
2025-05-19 09:36:04 - 24 speed_limit_60kmph (88%)
2025-05-19 09:36:05 - 24 speed_limit_60kmph (91%)
2025-05-19 09:36:05 - 24 speed_limit_60kmph (80%)
2025-05-19 09:36:05 - 24 speed_limit_60kmph (93%)
2025-05-19 09:36:05 - 24 speed_limit_60kmph (82%)
2025-05-19 09:36:06 - 24 speed_limit_60kmph (78%)
2025-05-19 09:36:06 - 24 speed_limit_60kmph (79%)
2025-05-19 09:36:06 - 24 speed_limit_60kmph (84%)
2025-05-19 09:36:06 - 24 speed_limit_60kmph (82%)
2025-05-19 09:36:06 - 24 speed_limit_60kmph (86%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (84%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (87%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (81%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (81%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (88%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (76%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (75%)
2025-05-19 09:36:07 - 24 speed_limit_60kmph (85%)
